Shop_name,Total_Rating_Shop,Response_rate,Join_from,Total_Product,Response_time,Follower,Shop_ID
20SILK,"61,8k",100%,5 năm trước,106.0,trong vài giờ,"81,9k",1
Insomnia Official,"42,6k",100%,5 năm trước,41.0,trong vài giờ,"44,9k",2
ALEX COOL,"99,7k",99%,6 năm trước,252.0,trong vài giờ,104k,3
ENZO,"10,4k",92%,32 tháng trước,80.0,trong vài giờ,"32,5k",4
Litaia,126k,100%,4 năm trước,95.0,trong vài giờ,"103,9k",5
Nice Clothes.,"168,9k",99%,3 năm trước,116.0,trong vài giờ,"198,9k",6
Thời Trang&Phụ Kiện MEMOTOP,"32,2k",98%,6 năm trước,73.0,trong vài giờ,"119,2k",7
UMA STORE,28k,99%,9 tháng trước,78.0,trong vài giờ,"44,8k",8
Vender _Store,"116,2k",100%,7 năm trước,86.0,trong vài giờ,318k,9
XƯỞNG MAY GIA CÔNG THEO MẪU,"22,7k",99%,6 năm trước,332.0,trong vài giờ,"40,3k",10
GODMOTHER,44k,100%,27 tháng trước,141.0,trong vài giờ,"78,6k",11
